gene_id,LFC_DESeq2,padj_DESeq2,LFC_edgeR,padj_edgeR,mean_LFC,direction
ENSG00000179388,-1.854873498,0.000218419,-1.82019202,0.023311154,-1.837532759,DOWN
ENSG00000100302,-1.981917066,0.000228636,-1.977286149,0.018131682,-1.979601607,DOWN
ENSG00000168309,4.717231268,0.000237291,4.630205799,0.014011641,4.673718534,UP
ENSG00000139269,-1.851327915,0.000242967,-1.855155044,0.005099327,-1.85324148,DOWN
ENSG00000158813,1.531929522,0.000265856,1.522400099,0.022856921,1.52716481,UP
ENSG00000106003,-2.63248147,0.000271943,-2.531487027,0.016942428,-2.581984249,DOWN
ENSG00000184564,-2.973663633,0.000273126,-2.81489822,0.028825766,-2.894280927,DOWN
ENSG00000025423,-2.184449084,0.000311245,-2.227572494,0.037087873,-2.206010789,DOWN
ENSG00000019186,-4.429294606,0.000366411,-4.247001158,0.021601427,-4.338147882,DOWN
ENSG00000165495,-2.243640205,0.000410638,-2.244395907,0.011400853,-2.244018056,DOWN
ENSG00000249364,5.165288659,0.000443162,4.753939719,0.006995667,4.959614189,UP
ENSG00000138135,-1.559178588,0.000453797,-1.514225891,0.018035671,-1.536702239,DOWN
ENSG00000183496,-1.635674826,0.000453922,-1.631211181,0.028285659,-1.633443004,DOWN
ENSG00000135604,2.472975072,0.000495187,2.37805211,0.030235167,2.425513591,UP
ENSG00000123685,1.937755394,0.000539811,1.894415555,0.027931192,1.916085474,UP
ENSG00000138669,-1.637272912,0.00056249,-1.618329218,0.030738086,-1.627801065,DOWN
ENSG00000171819,5.796857869,0.000586196,5.782003904,0.039262359,5.789430887,UP
ENSG00000171509,-1.956030286,0.000596142,-1.933677117,0.029351138,-1.944853701,DOWN
ENSG00000174944,1.592552443,0.000626952,1.577189034,0.011344622,1.584870739,UP
ENSG00000162998,1.776752275,0.000798825,1.744643563,0.038369096,1.760697919,UP
ENSG00000227268,-1.553879453,0.000817954,-1.539525477,0.013312039,-1.546702465,DOWN
ENSG00000175489,-3.399339438,0.000842342,-3.370551544,0.008593765,-3.384945491,DOWN
ENSG00000108387,1.932867679,0.000855568,1.917343517,0.01688596,1.925105598,UP
ENSG00000168918,-2.098124663,0.000875474,-2.092256643,0.015332096,-2.095190653,DOWN
ENSG00000168811,-1.976943011,0.000964407,-1.957975939,0.025782216,-1.967459475,DOWN
ENSG00000182836,3.29346327,0.000969114,3.42179036,0.038510589,3.357626815,UP
ENSG00000269289,3.203387892,0.000989981,3.011702604,0.011998727,3.107545248,UP
ENSG00000084710,-2.68473758,0.001005115,-2.603937507,0.016319007,-2.644337544,DOWN
ENSG00000206172,-2.563845599,0.001072065,-2.553415975,0.012456641,-2.558630787,DOWN
ENSG00000223764,-1.77097926,0.00108817,-1.735817879,0.02425979,-1.753398569,DOWN
ENSG00000223949,-1.829504159,0.001149886,-1.818846829,0.014816565,-1.824175494,DOWN
ENSG00000172738,-1.764855122,0.001162853,-1.728619015,0.032641224,-1.746737069,DOWN
ENSG00000126803,2.558026373,0.001169529,2.545574723,0.023047251,2.551800548,UP
ENSG00000272841,-2.053546765,0.001222835,-2.038318295,0.048869878,-2.04593253,DOWN
ENSG00000197381,2.32322861,0.00132448,2.315348764,0.022780167,2.319288687,UP
ENSG00000145390,2.30685058,0.001428334,2.301521161,0.033652821,2.304185871,UP
ENSG00000128045,3.998889225,0.001567049,3.916236478,0.006299968,3.957562851,UP
ENSG00000028277,-2.016482038,0.001570082,-1.937423338,0.03698468,-1.976952688,DOWN
ENSG00000203685,2.963306004,0.001637632,2.953793128,0.008402513,2.958549566,UP
ENSG00000160097,-1.678064428,0.001656024,-1.64692819,0.007460289,-1.662496309,DOWN
ENSG00000183876,-1.639361159,0.001672478,-1.628597615,0.043795895,-1.633979387,DOWN
ENSG00000248187,3.57028405,0.001842938,3.321517111,0.013993803,3.445900581,UP
ENSG00000175471,1.787171976,0.001977485,1.802588377,0.046955652,1.794880177,UP
ENSG00000188501,-2.919302401,0.00206171,-2.815051624,0.009026258,-2.867177013,DOWN
ENSG00000231246,3.522324378,0.002087448,3.288756696,0.001276117,3.405540537,UP
ENSG00000259426,1.645241273,0.002275947,1.645480249,0.027124518,1.645360761,UP
ENSG00000224080,2.314071891,0.002335822,2.225950735,0.010554597,2.270011313,UP
ENSG00000137673,5.15202459,0.002454141,4.892757628,0.025387021,5.022391109,UP
ENSG00000070388,2.912918495,0.002699312,2.779313787,0.002007695,2.846116141,UP
ENSG00000254842,2.844756972,0.002723794,2.747116249,0.040644279,2.79593661,UP
ENSG00000060718,2.382561959,0.0030042,2.358871346,0.029269837,2.370716653,UP
ENSG00000108700,-3.690046996,0.003039137,-3.472432654,0.032807074,-3.581239825,DOWN
ENSG00000117600,-2.078779818,0.003138946,-1.96976168,0.039581895,-2.024270749,DOWN
ENSG00000172497,-1.696666092,0.003211867,-1.69423025,0.031842666,-1.695448171,DOWN
ENSG00000215481,2.564998805,0.003452163,2.513510771,0.024452355,2.539254788,UP
ENSG00000165899,1.889777862,0.003718742,1.850110522,0.049656309,1.869944192,UP
ENSG00000138483,3.674531282,0.003795931,3.462686577,0.001288478,3.56860893,UP
ENSG00000186198,-1.586804586,0.003820584,-1.605307432,0.044446746,-1.596056009,DOWN
ENSG00000272168,-1.615985804,0.003919018,-1.573080537,0.049416535,-1.59453317,DOWN
ENSG00000273259,3.859497027,0.003955608,3.560762304,0.035548802,3.710129665,UP
ENSG00000183454,-4.359558521,0.003975932,-4.083461789,0.008960778,-4.221510155,DOWN
ENSG00000261121,-3.114534117,0.00406139,-2.972261286,0.011516844,-3.043397701,DOWN
ENSG00000140600,-2.773274196,0.004311078,-2.711187419,0.038497426,-2.742230808,DOWN
